iter	Passed	Remaining
757	1220	389
758	1221	387
759	1223	386
760	1225	384
761	1227	383
762	1228	381
763	1230	380
764	1231	378
765	1233	376
766	1235	375
767	1236	373
768	1238	372
769	1240	370
770	1241	368
771	1243	367
772	1245	365
773	1246	364
774	1248	362
775	1250	360
776	1252	359
777	1254	357
778	1256	356
779	1257	354
780	1259	353
781	1261	351
782	1262	349
783	1264	348
784	1266	346
785	1267	345
786	1269	343
787	1271	342
788	1273	340
789	1274	338
790	1276	337
791	1278	335
792	1279	334
793	1281	332
794	1284	331
795	1285	329
796	1287	327
797	1289	326
798	1290	324
799	1292	323
800	1293	321
801	1295	319
802	1297	318
803	1299	316
804	1301	315
805	1302	313
806	1304	311
807	1305	310
808	1307	308
809	1309	307
810	1311	305
811	1313	304
812	1315	302
813	1317	301
814	1319	299
815	1320	297
816	1322	296
817	1324	294
818	1326	293
819	1328	291
820	1330	289
821	1331	288
822	1333	286
823	1335	285
824	1337	283
825	1339	282
826	1341	280
827	1342	278
828	1344	277
829	1345	275
830	1347	274
831	1349	272
832	1350	270
833	1352	269
834	1354	267
835	1356	266
836	1358	264
837	1359	262
838	1361	261
839	1363	259
840	1364	258
841	1366	256
842	1368	254
843	1370	253
844	1372	251
845	1373	250
846	1375	248
847	1377	246
848	1378	245
849	1380	243
850	1382	242
851	1383	240
852	1385	238
853	1387	237
854	1388	235
855	1390	233
856	1392	232
857	1394	230
858	1395	229
859	1397	227
860	1399	225
861	1400	224
862	1402	222
863	1404	221
864	1406	219
865	1407	217
866	1409	216
867	1410	214
868	1412	212
869	1413	211
870	1415	209
871	1416	207
872	1418	206
873	1420	204
874	1421	203
875	1423	201
876	1425	199
877	1426	198
878	1428	196
879	1430	195
880	1431	193
881	1433	191
882	1435	190
883	1437	188
884	1438	186
885	1440	185
886	1441	183
887	1443	182
888	1444	180
889	1446	178
890	1447	177
891	1449	175
892	1450	173
893	1452	172
894	1453	170
895	1455	168
896	1457	167
897	1458	165
898	1460	164
899	1461	162
900	1463	160
901	1465	159
902	1467	157
903	1469	156
904	1470	154
905	1472	152
906	1474	151
907	1476	149
908	1477	147
909	1479	146
910	1481	144
911	1483	143
912	1485	141
913	1487	139
914	1489	138
915	1490	136
916	1492	135
917	1494	133
918	1495	131
919	1497	130
920	1499	128
921	1501	127
922	1502	125
923	1504	123
924	1505	122
925	1507	120
926	1508	118
927	1510	117
928	1511	115
929	1513	113
930	1515	112
931	1516	110
932	1518	109
933	1519	107
934	1521	105
935	1522	104
936	1524	102
937	1525	100
938	1527	99
939	1528	97
940	1530	95
941	1532	94
942	1533	92
943	1535	91
944	1536	89
945	1538	87
946	1540	86
947	1541	84
948	1543	82
949	1545	81
950	1547	79
951	1548	78
952	1550	76
953	1551	74
954	1553	73
955	1554	71
956	1555	69
957	1557	68
958	1559	66
959	1560	65
960	1562	63
961	1563	61
962	1565	60
963	1566	58
964	1568	56
965	1569	55
966	1571	53
967	1573	52
968	1574	50
969	1576	48
970	1577	47
971	1579	45
972	1580	43
973	1582	42
974	1584	40
975	1585	38
976	1587	37
977	1589	35
978	1591	34
979	1592	32
980	1594	30
981	1595	29
982	1597	27
983	1599	26
984	1600	24
985	1602	22
986	1603	21
987	1605	19
988	1607	17
989	1609	16
990	1610	14
991	1612	13
992	1613	11
993	1615	9
994	1616	8
995	1618	6
996	1620	4
997	1622	3
998	1623	1
999	1625	0
